date,state,district,pincode,age_5_17_demo,age_17_plus_demo,age_0_5,age_5_17_enroll,age_17_plus_enroll,age_5_17,age_17_plus,enroll_rate_5_17,enroll_rate_17_plus,bio_completion_5_17,bio_completion_17_plus,low_enrollment_flag,biometric_gap_flag,priority_score
2025-03-01,Tamil Nadu,Coimbatore,642120,15,207,0.0,0.0,0.0,83.0,193.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642123,12,241,0.0,0.0,0.0,83.0,61.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-03-01,Tamil Nadu,Coimbatore,642129,10,258,0.0,0.0,0.0,116.0,79.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-04-01,Tamil Nadu,Coimbatore,641006,76,768,0.0,0.0,0.0,293.0,541.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-04-01,Tamil Nadu,Coimbatore,641016,60,565,0.0,0.0,0.0,111.0,229.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-04-01,Tamil Nadu,Coimbatore,641035,76,797,0.0,0.0,0.0,216.0,425.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-04-01,Tamil Nadu,Coimbatore,642002,33,330,0.0,0.0,0.0,112.0,142.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-05-01,Tamil Nadu,Coimbatore,641006,104,830,0.0,0.0,0.0,359.0,587.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-05-01,Tamil Nadu,Coimbatore,641032,26,242,0.0,0.0,0.0,114.0,232.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-05-01,Tamil Nadu,Coimbatore,642002,46,410,0.0,0.0,0.0,166.0,183.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-06-01,Tamil Nadu,Coimbatore,641001,92,834,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,638459,0,4,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641001,7,41,7.0,1.0,0.0,5.0,37.0,0.14285714285714285,0.0,5.0,0.0,False,False,-1.0857142857142859
2025-09-01,Tamil Nadu,Coimbatore,641002,0,7,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641004,2,25,3.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641005,4,10,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641006,2,30,3.0,0.0,1.0,1.0,24.0,0.0,0.03333333333333333,0.0,24.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641007,2,15,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641008,6,28,4.0,2.0,0.0,4.0,17.0,0.3333333333333333,0.0,2.0,0.0,False,False,0.0
2025-09-01,Tamil Nadu,Coimbatore,641009,1,1,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641010,0,21,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641011,0,1,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641012,0,5,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641013,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641014,0,4,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641015,2,9,1.0,1.0,1.0,3.0,5.0,0.5,0.1111111111111111,3.0,5.0,False,False,-0.5
2025-09-01,Tamil Nadu,Coimbatore,641016,1,21,4.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641017,1,9,0.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,False,False,0.0
2025-09-01,Tamil Nadu,Coimbatore,641018,0,2,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641019,0,15,0.0,1.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,True,False,0.19999999999999996
2025-09-01,Tamil Nadu,Coimbatore,641020,3,20,1.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641021,0,5,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,1.0
2025-09-01,Tamil Nadu,Coimbatore,641022,0,5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,True,1.0
